Month,Value,Gain,% Gain
Jan-21,69.8M,+4.04M,6.10%
Dec-20,65.7M,+15.5M,30.90%
Nov-20,50.2M,-26.0M,-34.10%
20-Oct,56.4M,-17.4M,-23.60%
20-Sep,73.8M,-10.3M,-12.30%
20-Aug,84.2M,-3.63M,-4.10%
20-Jul,87.8M,+1.26M,1.50%
20-Jun,86.5M,-4.66M,-5.10%
20-May,91.2M,+11.5M,14.40%
20-Apr,79.7M,-16.4M,-17.10%
20-Mar,96.2M,+87.2M,971%
20-Feb,8.98M,-46.4K,-0.50%
20-Jan,9.02M,-8.65M,-48.90%
19-Dec,17.7M,-8.40M,-32.20%
19-Nov,26.1M,+4.21M,19.20%
19-Oct,21.9M,+9.70M,79.80%
19-Sep,12.2M,+9.34M,330%
19-Aug,2.83M,+2.66M,+1.5K%
19-Jul,174K,+173K,+11.5K%
19-Jun,1.5K,-6.6K,-81.40%
19-May,8.1K,-,-